src_id,dst_id,source_ticker,target_ticker,relation_type,weight,base_weight,confidence,observed_at,valid_from,valid_to,directed,source_name,source_record_id,evidence_text,filing_form,accession_number,source_url,temporal_status
CMIN-US:AAPL,CMIN-US:SNAP,AAPL,SNAP,supplier,0.256909,0.912000,0.96,2021-02-05T01:51:20.000Z,2021-02-05T01:51:20.000Z,,1,SEC EDGAR,0001564590-21-004377,"Our Partners We primarily rely on Google, Apple, and Amazon to operate our service and provide the mobile operating systems for our applications.",10-K,0001564590-21-004377,https://www.sec.gov/Archives/edgar/data/1564408/000156459021004377/snap-10k_20201231.htm,public_at_sec_acceptance
CMIN-US:ADBE,CMIN-US:MSFT,ADBE,MSFT,strategic_partner,0.050599,0.779000,0.82,2020-01-21T11:06:41.000Z,2020-01-21T11:06:41.000Z,,0,SEC EDGAR,0000796343-20-000013,"This open architecture offers scalability with a wide variety of supporting products and services, empowers users to quickly develop innovative applications to interact with consumers, and enables a broad industry ecosystem through our Open Data Initiative, an open alliance among Adobe, Microsoft, SAP and others.",10-K,0000796343-20-000013,https://www.sec.gov/Archives/edgar/data/796343/000079634320000013/adbe10kfy19.htm,public_at_sec_acceptance
CMIN-US:AVGO,CMIN-US:AAPL,AVGO,AAPL,customer,0.873136,0.921500,0.97,2021-12-17T21:42:51.000Z,2021-12-17T21:42:51.000Z,,1,SEC EDGAR,0001730168-21-000153,"We believe aggregate sales to Apple Inc., through all channels, accounted for approximately 20% and 15% of our net revenue for fiscal years 2021 and 2020, respectively.",10-K,0001730168-21-000153,https://www.sec.gov/Archives/edgar/data/1730168/000173016821000153/avgo-20211031.htm,public_at_sec_acceptance
CMIN-US:BRK-A,CMIN-US:WMT,BRK-A,WMT,customer,0.270043,0.874000,0.92,2021-03-01T11:22:33.000Z,2021-03-01T11:22:33.000Z,,1,SEC EDGAR,0001564590-21-009611,"These businesses have several significant customers, including Walmart, 7-Eleven, Yum!",10-K,0001564590-21-009611,https://www.sec.gov/Archives/edgar/data/1067983/000156459021009611/brka-10k_20201231.htm,public_at_sec_acceptance
CMIN-US:JD,CMIN-US:WMT,JD,WMT,strategic_partner,0.287335,0.779000,0.82,2021-04-16T21:05:36.000Z,2021-04-16T21:05:36.000Z,,0,SEC EDGAR,0001193125-21-119536,"As part of the strategic alliance, we also entered into an eight-year non-compete arrangement with Walmart, subject to certain conditions and exceptions.",20-F,0001193125-21-119536,https://www.sec.gov/Archives/edgar/data/1549802/000119312521119536/d17722d20f.htm,public_at_sec_acceptance
CMIN-US:LLY,CMIN-US:PFE,LLY,PFE,strategic_partner,0.229821,0.779000,0.82,2021-02-17T15:59:12.000Z,2021-02-17T15:59:12.000Z,,0,SEC EDGAR,0000059478-21-000083,TanezumabWe have a collaboration agreement with Pfizer Inc. (Pfizer) to jointly develop and globally commercialize tanezumab for the treatment of osteoarthritis pain and cancer pain.,10-K,0000059478-21-000083,https://www.sec.gov/Archives/edgar/data/59478/000005947821000083/lly-20201231.htm,public_at_sec_acceptance
CMIN-US:PEP,CMIN-US:WMT,PEP,WMT,customer,0.264631,0.921500,0.97,2021-02-10T22:41:49.000Z,2021-02-10T22:41:49.000Z,,1,SEC EDGAR,0000077476-21-000007,"In 2020, sales to Walmart Inc. (Walmart) and its affiliates, including Sam’s Club (Sam’s), represented approximately 14% of our consolidated net revenue, with sales reported across all of our divisions, including concentrate sales to our independent bottlers, which were used in finished goods sold by them to Walmart.",10-K,0000077476-21-000007,https://www.sec.gov/Archives/edgar/data/77476/000007747621000007/pep-20201226.htm,public_at_sec_acceptance
CMIN-US:PFE,CMIN-US:NVS,PFE,NVS,supplier,0.003604,0.912000,0.96,2018-01-24T16:37:24.000Z,2018-01-24T16:37:24.000Z,,1,SEC EDGAR,0001047469-18-000380,Pfizer is the contract manufacturer for the fill and finish stage of Glatopa 40mg/mL production at its McPherson site.,20-F,0001047469-18-000380,https://www.sec.gov/Archives/edgar/data/1114448/000104746918000380/a2234185z20-f.htm,public_at_sec_acceptance
CMIN-US:PG,CMIN-US:WMT,PG,WMT,customer,0.523184,0.921500,0.97,2021-08-06T20:19:59.000Z,2021-08-06T20:19:59.000Z,,1,SEC EDGAR,0000080424-21-000100,"Sales to Walmart Inc. and its affiliates represent approximately 15% of our total sales in 2021, 2020 and 2019.",10-K,0000080424-21-000100,https://www.sec.gov/Archives/edgar/data/80424/000008042421000100/pg-20210630.htm,public_at_sec_acceptance
CMIN-US:RDS-B,CMIN-US:MSFT,RDS-B,MSFT,strategic_partner,0.250140,0.779000,0.82,2021-03-11T11:35:00.000Z,2021-03-11T11:35:00.000Z,,0,SEC EDGAR,0001306965-21-000025,"Similarly, we have formed an alliance with Microsoft which includes supply of renewable energy to help them meet their commitment of 100% renewable energy consumption by 2025.Our shift to energy and chemicals parks means we will reduce our production of traditional fuels by 55% by 2030, from around 100 mtpa to 45 mtpa.",20-F,0001306965-21-000025,https://www.sec.gov/Archives/edgar/data/1306965/000130696521000025/rdsa-20201231.htm,public_at_sec_acceptance
