src_id,dst_id,source_ticker,target_ticker,relation_type,weight,base_weight,confidence,observed_at,valid_from,valid_to,directed,source_name,source_record_id,evidence_text,filing_form,accession_number,source_url,temporal_status
NASDAQ100:AAPL,NASDAQ100:MELI,AAPL,MELI,supplier,0.276410,0.912000,0.96,2023-02-24T21:02:21.000Z,2023-02-24T21:02:21.000Z,,1,SEC EDGAR,0001099590-23-000007,"We rely on third-party platforms, such as Google Play and Apple app stores, to access our Mercado Libre and Mercado Pago apps.Our Mercado Libre and Mercado Pago apps are accessed through third-party platforms, such as Google and Apple’s app stores.",10-K,0001099590-23-000007,https://www.sec.gov/Archives/edgar/data/1099590/000109959023000007/meli-20221231.htm,public_at_sec_acceptance
NASDAQ100:AAPL,NASDAQ100:MTCH,AAPL,MTCH,supplier,0.016687,0.912000,0.96,2021-02-25T21:01:22.000Z,2021-02-25T21:01:22.000Z,,1,SEC EDGAR,0000891103-21-000014,"Additionally, Apple and Google are known to retaliate against app developers who publicly or privately challenge their app store rules and policies, and such retaliation has and could adversely affect our business, financial condition and results of operations.The success of our products will depend, in part, on our ability to access, collect, and use personal data about our users and subscribers.We rely on the Apple App Store and Google Play Store to distribute and monetize our mobile applications.",10-K,0000891103-21-000014,https://www.sec.gov/Archives/edgar/data/891103/000089110321000014/mtch-20201231.htm,public_at_sec_acceptance
NASDAQ100:ADBE,NASDAQ100:MSFT,ADBE,MSFT,strategic_partner,0.003043,0.779000,0.82,2020-01-21T11:06:41.000Z,2020-01-21T11:06:41.000Z,,0,SEC EDGAR,0000796343-20-000013,"This open architecture offers scalability with a wide variety of supporting products and services, empowers users to quickly develop innovative applications to interact with consumers, and enables a broad industry ecosystem through our Open Data Initiative, an open alliance among Adobe, Microsoft, SAP and others.",10-K,0000796343-20-000013,https://www.sec.gov/Archives/edgar/data/796343/000079634320000013/adbe10kfy19.htm,public_at_sec_acceptance
NASDAQ100:ADSK,NASDAQ100:ANSS,ADSK,ANSS,supplier,0.274290,0.912000,0.96,2023-02-22T16:38:20.000Z,2023-02-22T16:38:20.000Z,,1,SEC EDGAR,0001013462-23-000013,"We believe that these relationships facilitate accelerated incorporation of advanced technology into our products, provide access to new customers, expand our sales channels, develop specialized product applications and provide direct integration with leading CAD, EDA, product data management and PLM systems.We have technical and marketing relationships with leading CAD vendors, such as Autodesk, PTC and Siemens Digital Industries, to provide direct links between products.",10-K,0001013462-23-000013,https://www.sec.gov/Archives/edgar/data/1013462/000101346223000013/anss-20221231.htm,public_at_sec_acceptance
NASDAQ100:AMGN,NASDAQ100:AZN,AMGN,AZN,strategic_partner,0.222849,0.779000,0.82,2023-02-09T21:26:31.000Z,2023-02-09T21:26:31.000Z,,0,SEC EDGAR,0000318154-23-000017,"1 to the Collaboration Agreement, dated October 1, 2014, by and among Amgen Inc., AstraZeneca Collaboration Ventures, LLC and AstraZeneca Pharmaceuticals LP (portions of the exhibit have been omitted because they are both (i) not material and (ii) is the type of information that the Company treats as private or confidential.) (Filed as an exhibit to Form 10-Q for the quarter ended June 30, 2022 on August 5, 2022 and incorporated herein by reference.)10.24.2Amendment Nos.",10-K,0000318154-23-000017,https://www.sec.gov/Archives/edgar/data/318154/000031815423000017/amgn-20221231.htm,public_at_sec_acceptance
NASDAQ100:AVGO,NASDAQ100:AAPL,AVGO,AAPL,customer,0.863107,0.921500,0.97,2023-12-14T21:54:05.000Z,2023-12-14T21:54:05.000Z,,1,SEC EDGAR,0001730168-23-000096,"We believe aggregate sales to Apple Inc., through all channels, accounted for approximately 20% of our net revenue for each of fiscal years 2023 and 2022.",10-K,0001730168-23-000096,https://www.sec.gov/Archives/edgar/data/1730168/000173016823000096/avgo-20231029.htm,public_at_sec_acceptance
NASDAQ100:BKNG,NASDAQ100:AAPL,BKNG,AAPL,supplier,0.272480,0.902500,0.95,2023-02-23T22:20:46.000Z,2023-02-23T22:20:46.000Z,,1,SEC EDGAR,0001075531-23-000016,"We rely heavily on Google and Apple’s app stores to provide our mobile application to users, and each of Google and Apple have more experience developing mobile apps and access to greater resources than us.",10-K,0001075531-23-000016,https://www.sec.gov/Archives/edgar/data/1075531/000107553123000016/bkng-20221231.htm,public_at_sec_acceptance
NASDAQ100:CDNS,NASDAQ100:SNPS,CDNS,SNPS,supplier,0.012647,0.912000,0.96,2020-12-15T01:00:04.000Z,2020-12-15T01:00:04.000Z,,1,SEC EDGAR,0000883241-20-000015,"In our Semiconductor & System Design segment, we compete against EDA vendors that offer a variety of products and services, such as Cadence Design Systems, Inc. and Mentor Graphics Corporation (now part of Siemens AG).",10-K,0000883241-20-000015,https://www.sec.gov/Archives/edgar/data/883241/000088324120000015/snps10312010-k.htm,public_at_sec_acceptance
NASDAQ100:CEG,NASDAQ100:EXC,CEG,EXC,customer,0.256857,0.874000,0.92,2023-02-16T16:04:17.000Z,2023-02-16T16:04:17.000Z,,1,SEC EDGAR,0001868275-23-000014,"Our operating revenues include all sales to third parties and affiliated sales to Exelon's utility subsidiaries, prior to the separation.",10-K,0001868275-23-000014,https://www.sec.gov/Archives/edgar/data/1868275/000186827523000014/ceg-20221231.htm,public_at_sec_acceptance
NASDAQ100:CEG,NASDAQ100:EXC,CEG,EXC,supplier,0.265233,0.902500,0.95,2023-02-16T16:04:17.000Z,2023-02-16T16:04:17.000Z,,1,SEC EDGAR,0001868275-23-000014,"The collection and reinvestment of DPP is recognized in Net cash provided by investing activities in the Consolidated Statements of Cash Flows.See Note 18 — Fair Value of Financial Assets and Liabilities and Note 22 — Variable Interest Entities for additional information.118Table of ContentsCombined Notes to Consolidated Financial Statements (Dollars in millions, unless otherwise noted)Note 6 — Accounts ReceivableOther Sales of Customer Accounts Receivables We are required, under supplier tariffs, to sell customer receivables to utility companies, which included Exelon's utility subsidiaries prior to the separation.",10-K,0001868275-23-000014,https://www.sec.gov/Archives/edgar/data/1868275/000186827523000014/ceg-20221231.htm,public_at_sec_acceptance
